Year	Region	Vocation	Vehicle	Stock [veh]
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	3.8653997576519803
2010	1	commercial	VCC 21400 (GAS LHD1)	48.679095983672525
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	5.278738806080034
2010	1	industrial	VCC 21400 (GAS LHD1)	35.79802300084855
2010	1	industrial	VCC 22400 (DSL LHD1)	417.82064295174695
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	6.488966893875564e-2
2010	2	commercial	VCC 21400 (GAS LHD1)	4.8566191759292545
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	0.6246964879863405
2010	2	industrial	VCC 21400 (GAS LHD1)	1.9882484526893731
2010	2	industrial	VCC 22400 (DSL LHD1)	11.877352654456285
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	4.237538697327831
2011	1	commercial	VCC 21400 (GAS LHD1)	83.32915228789778
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	8.158964858035002
2011	1	industrial	VCC 21400 (GAS LHD1)	58.74611322258867
2011	1	industrial	VCC 22400 (DSL LHD1)	632.7644342291508
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	0.5978143302980632
2011	2	commercial	VCC 21400 (GAS LHD1)	326.00129089045527
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	24.638552308622554
2011	2	industrial	VCC 21400 (GAS LHD1)	105.98341440044905
2011	2	industrial	VCC 22400 (DSL LHD1)	473.8555001457758
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	4.284397213829492
2012	1	commercial	VCC 21400 (GAS LHD1)	276.2849317484236
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	17.758293469298216
2012	1	industrial	VCC 21400 (GAS LHD1)	160.77564279453213
2012	1	industrial	VCC 22400 (DSL LHD1)	1296.778546335966
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	0.6190797572001925
2012	2	commercial	VCC 21400 (GAS LHD1)	709.3061300031046
2012	2	commercial	VCC 24724 (NG T7 SWCVng)	66.95909784565262
2012	2	industrial	VCC 21400 (GAS LHD1)	238.31677693960236
2012	2	industrial	VCC 22400 (DSL LHD1)	874.3568750092847
2013	1	agricultural	VCC 22601 (DSL T6 Ag)	4.2415532416911965
2013	1	commercial	VCC 21400 (GAS LHD1)	539.4669813632516
2013	1	commercial	VCC 24724 (NG T7 SWCVng)	47.58769633016826
2013	1	industrial	VCC 21400 (GAS LHD1)	269.77438785221403
2013	1	industrial	VCC 22400 (DSL LHD1)	1774.8558018591043
2013	2	agricultural	VCC 22601 (DSL T6 Ag)	0.6128889596281906
2013	2	commercial	VCC 21400 (GAS LHD1)	764.7079280756769
2013	2	commercial	VCC 24724 (NG T7 SWCVng)	73.32740257053803
2013	2	industrial	VCC 21400 (GAS LHD1)	261.9252254229521
2013	2	industrial	VCC 22400 (DSL LHD1)	980.9997013305009
2014	1	agricultural	VCC 22601 (DSL T6 Ag)	4.199137709274285
2014	1	commercial	VCC 21400 (GAS LHD1)	744.0591949972998
2014	1	commercial	VCC 24724 (NG T7 SWCVng)	69.83495036792546
2014	1	industrial	VCC 21400 (GAS LHD1)	354.4102030434758
2014	1	industrial	VCC 22400 (DSL LHD1)	2144.8306366219895
2014	2	agricultural	VCC 22601 (DSL T6 Ag)	0.6067600700319087
2014	2	commercial	VCC 21400 (GAS LHD1)	946.9099701954551
2014	2	commercial	VCC 24724 (NG T7 SWCVng)	95.62198633970824
2014	2	industrial	VCC 21400 (GAS LHD1)	338.264235614391
2014	2	industrial	VCC 22400 (DSL LHD1)	1321.714626476117
2015	1	agricultural	VCC 22601 (DSL T6 Ag)	4.157146332181542
2015	1	commercial	VCC 21400 (GAS LHD1)	767.2163969726114
2015	1	commercial	VCC 24724 (NG T7 SWCVng)	72.06422059610756
2015	1	industrial	VCC 21400 (GAS LHD1)	363.59172557988086
2015	1	industrial	VCC 22400 (DSL LHD1)	2179.878644931784
2015	2	agricultural	VCC 22601 (DSL T6 Ag)	0.6006924693315896
2015	2	commercial	VCC 21400 (GAS LHD1)	1181.661592085775
2015	2	commercial	VCC 24724 (NG T7 SWCVng)	121.09942610886391
2015	2	industrial	VCC 21400 (GAS LHD1)	436.45300792109964
2015	2	industrial	VCC 22400 (DSL LHD1)	1759.4105465236757
2016	1	agricultural	VCC 22601 (DSL T6 Ag)	4.115574868859727
2016	1	commercial	VCC 21400 (GAS LHD1)	912.7286774741954
2016	1	commercial	VCC 24724 (NG T7 SWCVng)	84.66720435126979
2016	1	industrial	VCC 21400 (GAS LHD1)	423.66522915176586
2016	1	industrial	VCC 22400 (DSL LHD1)	2440.922488822349
2016	2	agricultural	VCC 22601 (DSL T6 Ag)	0.5946855446382736
2016	2	commercial	VCC 21400 (GAS LHD1)	1337.2577062847743
2016	2	commercial	VCC 24724 (NG T7 SWCVng)	136.54423139404904
2016	2	industrial	VCC 21400 (GAS LHD1)	501.7154436487148
2016	2	industrial	VCC 22400 (DSL LHD1)	2050.9162872854818
2017	1	agricultural	VCC 22601 (DSL T6 Ag)	4.07441912017113
2017	1	commercial	VCC 21400 (GAS LHD1)	1065.0325610459265
2017	1	commercial	VCC 24724 (NG T7 SWCVng)	97.88834569595393
2017	1	industrial	VCC 21400 (GAS LHD1)	486.56781155707256
2017	1	industrial	VCC 22400 (DSL LHD1)	2714.5828989026318
2017	2	agricultural	VCC 22601 (DSL T6 Ag)	0.588738689191891
2017	2	commercial	VCC 21400 (GAS LHD1)	1445.304146028953
2017	2	commercial	VCC 24724 (NG T7 SWCVng)	147.3887196966283
