Technology	Year	Capacity [kg/yr]	Yield [kg/kg]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [$/yr]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]
Central Grid Electrolysis	2025	110915.0	1	0.6	0	0	2.44212E9	0	0.667336	0
Central Grid Electrolysis	2025	1392820.0	1	0.6	0	0	4.20859E9	0	0.146892	0
Central Grid Electrolysis	2025	139282.0	1	0.6	0	0	1.01887E9	0	0.433401	0
Central Grid Electrolysis	2025	2218300.0	1	0.6	0	0	1.45379E10	0	0.0811459	0
Central Grid Electrolysis	2025	221830.0	1	0.6	0	0	3.68372E9	0	0.380209	0
Central Grid Electrolysis	2025	253655.0	1	0.6	0	0	1.04015E9	0	0.0979448	0
Central Grid Electrolysis	2025	25365.5	1	0.6	0	0	2.23524E8	0	0.270294	0
Central Grid Electrolysis	2025	2785650.0	1	0.6	0	0	6.53273E9	0	0.12653	0
Central Grid Electrolysis	2025	278565.0	1	0.6	0	0	1.55202E9	0	0.280742	0
Central Grid Electrolysis	2025	27856.5	1	0.6	0	0	3.92081E8	0	1.58171	0
Central Grid Electrolysis	2025	4436600.0	1	0.6	0	0	2.19936E10	0	0.0563897	0
Central Grid Electrolysis	2025	443660.0	1	0.6	0	0	5.56437E9	0	0.225991	0
Central Grid Electrolysis	2025	44366.0	1	0.6	0	0	1.42336E9	0	1.48031	0
Central Grid Electrolysis	2025	507310.0	1	0.6	0	0	1.69961E9	0	0.0791465	0
Central Grid Electrolysis	2025	50731.0	1	0.6	0	0	3.50582E8	0	0.188057	0
Central Grid Electrolysis	2025	696411.0	1	0.6	0	0	2.72874E9	0	0.182985	0
Central Grid Electrolysis	2025	69641.1	1	0.6	0	0	6.72465E8	0	0.727085	0
Central Natural Gas Reforming	2005	1014620.0	1	0.6	0	0	6.01479E9	0	0.12271	0
Central Natural Gas Reforming	2005	101462.0	1	0.6	0	0	1.33479E9	0	0.279977	0
